event_name,overlap_percentage
GW200129_065458,9.64
GW231206_233901,6.8
GW190701_203306,5.74
GW190602_175927,5.33
GW230811_032116,4.7
GW230904_051013,4.49
GW190426_190642,4.01
GW190803_022701,3.97
GW231008_142521,3.96
GW231108_125142,3.91
GW230927_153832,3.75
GW230819_171910,3.67
GW231004_232346,3.51
GW230712_090405,3.48
GW190521_074359,3.46
GW230609_064958,3.28
GW190527_092055,3.16
GW190725_174728,3.1
GW230704_021211,3.08
GW190930_133541,3.07
GW230605_065343,2.89
GW230922_040658,2.86
GW191126_115259,2.8
GW190728_064510,2.78
GW230601_224134,2.77
GW230924_124453,2.77
GW191204_171526,2.74
GW190805_211137,2.74
GW231028_153006,2.73
GW231221_135041,2.7
GW200112_155838,2.7
GW231206_233134,2.67
GW230820_212515,2.58
GW231129_081745,2.54
GW230704_212616,2.49
GW190910_112807,2.47
GW230803_033412,2.42
GW230702_185453,2.39
GW231118_005626,2.39
GW231005_021030,2.39
GW230824_033047,2.36
GW230806_204041,2.31
GW230608_205047,2.26
GW230805_034249,2.24
GW231018_233037,2.14
GW190916_200658,2.12
GW170104,2.11
GW231029_111508,2.11
GW191113_071753,2.1
GW191216_213338,2.08
GW200308_173609,2.08
GW230729_082317,2.07
GW231223_202619,2.07
GW231113_122623,2.03
GW230726_002940,2.02
GW230920_071124,2.01
GW230927_043729,1.95
GW231110_040320,1.95
GW190707_093326,1.94
GW240109_050431,1.94
GW230825_041334,1.91
GW231014_040532,1.9
GW230814_230901,1.83
GW231104_133418,1.82
GW190731_140936,1.8
GW190719_215514,1.78
GW200322_091133,1.77
GW170823,1.75
GW240104_164932,1.71
GW230708_230935,1.67
GW200306_093714,1.66
GW230624_113103,1.65
GW230919_215712,1.64
GW151012,1.6
GW231114_043211,1.58
GW190630_185205,1.54
GW230930_110730,1.54
GW230707_124047,1.54
GW230706_104333,1.54
GW231230_170116,1.51
GW231231_154016,1.49
GW230723_101834,1.47
GW231119_075248,1.46
GW190706_222641,1.44
GW191204_110529,1.41
GW230911_195324,1.41
GW231102_071736,1.4
GW200220_124850,1.36
GW191109_010717,1.35
GW231005_091549,1.35
GW200128_022011,1.28
GW230630_234532,1.27
GW190514_065416,1.27
GW230928_215827,1.24
GW191103_012549,1.23
GW231118_071402,1.23
GW200216_220804,1.21
GW231118_090602,1.2
GW231020_142947,1.2
GW230630_125806,1.2
GW230731_215307,1.17
GW230831_015414,1.15
GW191127_050227,1.13
GW190620_030421,1.1
GW230814_061920,1.08
GW190924_021846,1.07
GW151226,1.06
GW240107_013215,1.03
GW231001_140220,1.02
GW190926_050336,0.99
GW230709_122727,0.98
GW230606_004305,0.89
GW190929_012149,0.81
GW231127_165300,0.8
GW231223_032836,0.78
GW190708_232457,0.78
GW230708_053705,0.76
GW200208_222617,0.75
GW231113_200417,0.46
GW170729,0.31
GW231223_075055,0.28
GW231213_111417,0.22
GW230628_231200,0.21
GW200220_061928,0.15
GW191222_033537,0.15
GW230914_111401,0.13
GW190925_232845,0.04
GW200302_015811,0.03
GW200202_154313,0.0
GW200225_060421,0.0
GW190503_185404,0.0
GW170608,0.0
GW191105_143521,0.0
GW190720_000836,0.0
GW190513_205428,0.0
GW231226_101520,0.0
GW231224_024321,0.0
GW190727_060333,0.0
GW190519_153544,0.0
GW150914,0.0
GW170818,0.0
GW200224_222234,0.0
GW190413_052954,0.0
GW170814,0.0
GW200316_215756,0.0
GW190828_063405,0.0
GW230922_020344,0.0
GW191129_134029,0.0
GW200311_115853,0.0
GW190828_065509,0.0
GW190512_180714,0.0
GW190408_181802,0.0
GW200209_085452,0.0
GW190421_213856,0.0
GW231123_135430,0.0
GW190521,0.0
GW191230_180458,0.0
GW190915_235702,0.0
GW170809,0.0
GW190403_051519,0.0
GW200208_130117,0.0
GW190517_055101,0.0
GW190412,0.0
GW230627_015337,0.0
GW190413_134308,0.0
GW200219_094415,0.0
GW191215_223052,0.0
