event_name,overlap_percentage
GW200129_065458,59.79
GW190924_021846,47.75
GW200224_222234,46.61
GW190701_203306,39.27
GW190925_232845,35.33
GW231206_233901,29.79
GW231123_135430,23.6
GW200220_061928,21.39
GW190512_180714,19.45
GW190517_055101,19.2
GW190602_175927,18.81
GW191103_012549,17.87
GW240107_013215,17.27
GW230814_061920,17.24
GW190731_140936,17.06
GW231206_233134,16.98
GW230811_032116,16.57
GW231223_075055,16.01
GW230605_065343,15.88
GW200311_115853,15.79
GW190803_022701,15.53
GW190521_074359,15.52
GW190426_190642,15.39
GW230726_002940,15.39
GW230904_051013,15.16
GW191126_115259,15.07
GW230702_185453,15.06
GW191109_010717,15.0
GW231224_024321,14.89
GW200308_173609,14.57
GW230927_153832,14.52
GW230707_124047,14.47
GW231004_232346,14.46
GW230814_230901,14.3
GW170823,14.28
GW230723_101834,14.26
GW231118_005626,14.05
GW190728_064510,13.96
GW230624_113103,13.84
GW230708_053705,13.84
GW230601_224134,13.82
GW190910_112807,13.72
GW231014_040532,13.68
GW231005_021030,13.33
GW190519_153544,13.28
GW230805_034249,13.2
GW230704_212616,13.07
GW231008_142521,13.07
GW231028_153006,13.07
GW200322_091133,13.01
GW231029_111508,12.99
GW190719_215514,12.98
GW230824_033047,12.96
GW190708_232457,12.85
GW231005_091549,12.75
GW230630_125806,12.75
GW231221_135041,12.72
GW230729_082317,12.42
GW231108_125142,12.35
GW230803_033412,12.33
GW190514_065416,12.33
GW231020_142947,12.29
GW240109_050431,12.28
GW230819_171910,12.21
GW231001_140220,12.19
GW230709_122727,12.18
GW230911_195324,12.11
GW231127_165300,12.02
GW230920_071124,11.99
GW231104_133418,11.92
GW230922_040658,11.83
GW151012,11.83
GW231114_043211,11.83
GW231223_202619,11.8
GW231231_154016,11.78
GW230704_021211,11.73
GW231223_032836,11.61
GW190630_185205,11.6
GW230928_215827,11.5
GW191204_110529,11.48
GW151226,11.41
GW240104_164932,11.38
GW190916_200658,11.26
GW170104,11.25
GW231102_071736,11.15
GW231110_040320,11.14
GW230806_204041,11.04
GW230606_004305,10.98
GW230630_234532,10.96
GW231118_071402,10.92
GW190707_093326,10.84
GW190805_211137,10.71
GW200220_124850,10.62
GW230712_090405,10.62
GW230731_215307,10.59
GW231230_170116,10.56
GW230609_064958,10.54
GW231119_075248,10.5
GW200306_093714,10.27
GW230924_124453,10.26
GW231118_090602,10.26
GW190527_092055,10.21
GW230930_110730,10.18
GW191113_071753,10.03
GW190725_174728,9.95
GW230914_111401,9.95
GW190930_133541,9.76
GW231213_111417,9.61
GW231129_081745,9.56
GW191204_171526,9.41
GW200112_155838,9.39
GW200128_022011,9.39
GW231113_122623,9.01
GW190421_213856,8.96
GW230927_043729,8.72
GW191129_134029,8.57
GW230825_041334,8.44
GW170608,8.41
GW231113_200417,8.13
GW230708_230935,8.09
GW190706_222641,8.06
GW190620_030421,8.02
GW191216_213338,7.89
GW230919_215712,7.87
GW230820_212515,7.45
GW231018_233037,7.39
GW191222_033537,7.39
GW230831_015414,7.39
GW230608_205047,7.18
GW230706_104333,6.92
GW190926_050336,6.4
GW190929_012149,5.57
GW170729,4.85
GW190413_134308,4.74
GW191127_050227,4.49
GW230628_231200,4.42
GW200216_220804,4.03
GW200208_222617,3.4
GW190403_051519,3.17
GW190915_235702,2.67
GW200302_015811,1.57
GW191105_143521,1.04
GW190408_181802,0.71
GW190413_052954,0.11
GW190513_205428,0.01
GW200202_154313,0.0
GW200225_060421,0.0
GW190503_185404,0.0
GW190720_000836,0.0
GW231226_101520,0.0
GW190727_060333,0.0
GW150914,0.0
GW170818,0.0
GW170814,0.0
GW200316_215756,0.0
GW190828_063405,0.0
GW230922_020344,0.0
GW190828_065509,0.0
GW200209_085452,0.0
GW190521,0.0
GW191230_180458,0.0
GW170809,0.0
GW200208_130117,0.0
GW190412,0.0
GW230627_015337,0.0
GW200219_094415,0.0
GW191215_223052,0.0
