event_name,overlap_percentage
GW200224_222234,100.0
GW190701_203306,91.87
GW200129_065458,85.1
GW190924_021846,75.67
GW231206_233901,72.7
GW190925_232845,66.72
GW200311_115853,60.6
GW200220_061928,40.32
GW231123_135430,37.54
GW230707_124047,35.71
GW190517_055101,35.1
GW230605_065343,33.29
GW231004_232346,32.36
GW230814_061920,31.52
GW190731_140936,30.89
GW190519_153544,30.09
GW240107_013215,30.06
GW231224_024321,29.95
GW231206_233134,29.93
GW191103_012549,29.87
GW230630_125806,29.79
GW231028_153006,29.36
GW190512_180714,29.01
GW190602_175927,28.75
GW191109_010717,28.73
GW190426_190642,28.46
GW230726_002940,28.39
GW231110_040320,28.34
GW231014_040532,27.95
GW230709_122727,27.41
GW190521_074359,27.39
GW230814_230901,27.36
GW231113_122623,26.75
GW231223_075055,26.55
GW200308_173609,26.39
GW230811_032116,25.93
GW190708_232457,25.81
GW190910_112807,25.71
GW230723_101834,25.61
GW190803_022701,25.3
GW230805_034249,25.16
GW190728_064510,25.13
GW230702_185453,25.08
GW231005_091549,24.8
GW240109_050431,24.73
GW200322_091133,24.71
GW231223_032836,24.3
GW230904_051013,24.23
GW170823,24.19
GW230927_153832,24.1
GW190630_185205,24.03
GW230708_053705,23.99
GW230803_033412,23.35
GW231029_111508,23.07
GW230704_212616,23.05
GW191126_115259,22.93
GW190707_093326,22.87
GW231114_043211,22.78
GW191113_071753,22.77
GW231005_021030,22.77
GW230624_113103,22.75
GW230928_215827,22.6
GW230824_033047,22.44
GW230911_195324,22.33
GW230601_224134,22.22
GW190514_065416,22.17
GW231118_071402,22.03
GW231102_071736,21.94
GW230920_071124,21.75
GW151226,21.72
GW231001_140220,21.69
GW231008_142521,21.62
GW231104_133418,21.62
GW230914_111401,21.55
GW231231_154016,21.42
GW151012,21.3
GW230924_124453,21.27
GW231108_125142,21.24
GW231223_202619,21.08
GW230712_090405,21.07
GW230704_021211,20.77
GW230609_064958,20.75
GW190916_200658,20.74
GW170104,20.72
GW191204_110529,20.71
GW231221_135041,20.63
GW200208_222617,20.55
GW190413_134308,20.47
GW231113_200417,20.34
GW230819_171910,20.3
GW240104_164932,20.28
GW231118_005626,20.27
GW190805_211137,20.24
GW231127_165300,20.05
GW200220_124850,20.02
GW190719_215514,19.93
GW230919_215712,19.73
GW200128_022011,19.66
GW190421_213856,19.6
GW191127_050227,19.6
GW190527_092055,19.5
GW231230_170116,19.49
GW190725_174728,19.46
GW231129_081745,19.32
GW230922_040658,19.31
GW230930_110730,19.31
GW230806_204041,19.18
GW230706_104333,18.94
GW200112_155838,18.43
GW230729_082317,18.39
GW200306_093714,18.38
GW170608,18.22
GW231119_075248,18.16
GW231213_111417,17.9
GW191204_171526,17.59
GW231020_142947,17.57
GW230731_215307,17.49
GW231118_090602,17.36
GW230606_004305,17.27
GW230708_230935,17.23
GW230927_043729,16.45
GW191129_134029,16.33
GW231018_233037,15.96
GW230608_205047,15.92
GW230630_234532,15.88
GW191222_033537,15.01
GW190620_030421,14.71
GW190930_133541,14.62
GW230825_041334,14.56
GW170729,14.05
GW230820_212515,13.58
GW230628_231200,13.36
GW230831_015414,13.33
GW190926_050336,13.2
GW190706_222641,13.18
GW191216_213338,12.85
GW190929_012149,10.24
GW190403_051519,8.52
GW190915_235702,7.22
GW200316_215756,7.16
GW200216_220804,7.0
GW190513_205428,6.33
GW200302_015811,6.26
GW170809,4.68
GW191105_143521,4.42
GW190413_052954,3.69
GW200202_154313,3.17
GW191215_223052,2.41
GW200209_085452,1.31
GW190408_181802,0.98
GW190828_063405,0.96
GW190828_065509,0.89
GW230922_020344,0.81
GW191230_180458,0.0
GW200225_060421,0.0
GW190503_185404,0.0
GW190720_000836,0.0
GW231226_101520,0.0
GW190727_060333,0.0
GW150914,0.0
GW170818,0.0
GW170814,0.0
GW190521,0.0
GW200208_130117,0.0
GW190412,0.0
GW230627_015337,0.0
GW200219_094415,0.0
