#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-12T03:28:45 [V7.5.8]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-12T03:28:45	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VII/284/snrs&-out=SNR,RAJ2000,DEJ2000,MajDiam,MinDiam&-out.max=1000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.8	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7284
#Name: VII/284
#Title: A Catalogue of Galactic Supernova Remnants (Green, 2019)
#INFO	ivoid=ivo://cds.vizier/vii/284	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/284	    IVOID of underlying data collection
#INFO	creator=Green D.A.	    First author or institution
#INFO	cites=bibcode:2019JApA...40...36G	    Article or Data origin sources
#INFO	journal=JApA	    Journal name
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/284	    Dataset landing page
#INFO	publication_date=2025-02-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	VII_284_snrs:
#Name: VII/284/snrs
#Title: Supernova Remnant catalogue
#Column	SNR	(A11)	*Supernova Remnant designation	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A8)	Right Ascension J2000 hours	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A6)	Declination J2000 degrees	[ucd=pos.eq.dec;meta.main]
#Column	MajDiam	(F5.1)	Major Angular Size of remnant	[ucd=phys.angSize]
#Column	MinDiam	(F5.1)	? Minor Angular Size of remnant	[ucd=phys.angSize]
SNR	RAJ2000	DEJ2000	MajDiam	MinDiam
 	"h:m:s"	"d:m:s"	arcmin	arcmin
-----------	--------	------	-----	-----
G000.0+00.0	17 45 44	-29 00	  3.5	  2.5
G000.3+00.0	17 46 15	-28 38	 15.0	  8.0
G000.9+00.1	17 47 21	-28 09	  8.0	
G001.0-00.1	17 48 30	-28 09	  8.0	
G001.4-00.1	17 49 39	-27 46	 10.0	
G001.9+00.3	17 48 45	-27 10	  1.5	
G003.7-00.2	17 55 26	-25 50	 14.0	 11.0
G003.8+00.3	17 52 55	-25 28	 18.0	
G004.2-03.5	18 08 55	-27 03	 28.0	
G004.5+06.8	17 30 42	-21 29	  3.0	
G004.8+06.2	17 33 25	-21 34	 18.0	
G005.2-02.6	18 07 30	-25 45	 18.0	
G005.4-01.2	18 02 10	-24 54	 35.0	
G005.5+00.3	17 57 04	-24 00	 15.0	 12.0
G005.9+03.1	17 47 20	-22 16	 20.0	
G006.1+00.5	17 57 29	-23 25	 18.0	 12.0
G006.1+01.2	17 54 55	-23 05	 30.0	 26.0
G006.4-00.1	18 00 30	-23 26	 48.0	
G006.4+04.0	17 45 10	-21 22	 31.0	
G006.5-00.4	18 02 11	-23 34	 18.0	
G007.0-00.1	18 01 50	-22 54	 15.0	
G007.2+00.2	18 01 07	-22 38	 12.0	
G007.7-03.7	18 17 25	-24 04	 22.0	
G008.3-00.0	18 04 34	-21 49	  5.0	  4.0
G008.7-05.0	18 24 10	-23 48	 26.0	
G008.7-00.1	18 05 30	-21 26	 45.0	
G008.9+00.4	18 03 58	-21 03	 24.0	
G009.7-00.0	18 07 22	-20 35	 15.0	 11.0
G009.8+00.6	18 05 08	-20 14	 12.0	
G009.9-00.8	18 10 41	-20 43	 12.0	
G010.5-00.0	18 09 08	-19 47	  6.0	
G011.0-00.0	18 10 04	-19 25	 11.0	  9.0
G011.1-01.0	18 14 03	-19 46	 18.0	 12.0
G011.1-00.7	18 12 46	-19 38	 11.0	  7.0
G011.1+00.1	18 09 47	-19 12	 12.0	 10.0
G011.2-00.3	18 11 27	-19 25	  4.0	
G011.4-00.1	18 10 47	-19 05	  8.0	
G011.8-00.2	18 12 25	-18 44	  4.0	
G012.0-00.1	18 12 11	-18 37	  7.0	
G012.2+00.3	18 11 17	-18 10	  6.0	  5.0
G012.5+00.2	18 12 14	-17 55	  6.0	  5.0
G012.7-00.0	18 13 19	-17 54	  6.0	
G012.8-00.0	18 13 37	-17 49	  3.0	
G013.3-01.3	18 19 20	-18 00	 70.0	 40.0
G013.5+00.2	18 14 14	-17 12	  5.0	  4.0
G014.1-00.1	18 16 40	-16 41	  6.0	  5.0
G014.3+00.1	18 15 58	-16 27	  5.0	  4.0
G015.1-01.6	18 24 00	-16 34	 30.0	 24.0
G015.4+00.1	18 18 02	-15 27	 15.0	 14.0
G015.9+00.2	18 18 52	-15 02	  7.0	  5.0
G016.0-00.5	18 21 56	-15 14	 15.0	 10.0
G016.2-02.7	18 29 40	-16 08	 17.0	
G016.4-00.5	18 22 38	-14 55	 13.0	
G016.7+00.1	18 20 56	-14 20	  4.0	
G017.0-00.0	18 21 57	-14 08	  5.0	
G017.4-02.3	18 30 55	-14 52	 24.0	
G017.4-00.1	18 23 08	-13 46	  6.0	
G017.8-02.6	18 32 50	-14 39	 24.0	
G018.1-00.1	18 24 34	-13 11	  8.0	
G018.6-00.2	18 25 55	-12 50	  6.0	
G018.8+00.3	18 23 58	-12 23	 17.0	 11.0
G018.9-01.1	18 29 50	-12 58	 33.0	
G019.1+00.2	18 24 56	-12 07	 27.0	
G020.0-00.2	18 28 07	-11 35	 10.0	
G021.0-00.4	18 31 12	-10 47	  9.0	  7.0
G021.5-00.9	18 33 33	-10 35	  5.0	
G021.6-00.8	18 33 40	-10 25	 13.0	
G021.8-00.6	18 32 45	-10 08	 20.0	
G022.7-00.2	18 33 15	-09 13	 26.0	
G023.3-00.3	18 34 45	-08 48	 27.0	
G024.7-00.6	18 38 43	-07 32	 15.0	
G024.7+00.6	18 34 10	-07 05	 30.0	 15.0
G025.1-02.3	18 45 10	-08 00	 80.0	 30.0
G027.4+00.0	18 41 19	-04 56	  4.0	
G027.8+00.6	18 39 50	-04 24	 50.0	 30.0
G028.6-00.1	18 43 55	-03 53	 13.0	  9.0
G028.8+01.5	18 39 00	-02 55	100.0	
G029.6+00.1	18 44 52	-02 57	  5.0	
G029.7-00.3	18 46 25	-02 59	  3.0	
G030.7-02.0	18 54 25	-02 54	 16.0	
G030.7+01.0	18 44 00	-01 32	 24.0	 18.0
G031.5-00.6	18 51 10	-01 31	 18.0	
G031.9+00.0	18 49 25	-00 55	  7.0	  5.0
G032.0-04.9	19 06 00	-03 00	 60.0	
G032.1-00.9	18 53 10	-01 08	 40.0	
G032.4+00.1	18 50 05	-00 25	  6.0	
G032.8-00.1	18 51 25	-00 08	 22.0	 15.0
G033.2-00.6	18 53 50	-00 02	 18.0	
G033.6+00.1	18 52 48	+00 41	 10.0	
G034.7-00.4	18 56 00	+01 22	 35.0	 27.0
G035.6-00.4	18 57 55	+02 13	 15.0	 11.0
G036.6-00.7	19 00 35	+02 56	 25.0	
G036.6+02.6	18 48 49	+04 26	 17.0	 13.0
G038.7-01.3	19 06 40	+04 28	 32.0	 19.0
G039.2-00.3	19 04 08	+05 28	  8.0	  6.0
G039.7-02.0	19 12 20	+04 55	120.0	 60.0
G040.5-00.5	19 07 10	+06 31	 22.0	
G041.1-00.3	19 07 34	+07 08	  4.5	  2.5
G041.5+00.4	19 05 50	+07 46	 10.0	
G042.0-00.1	19 08 10	+08 00	  8.0	
G042.8+00.6	19 07 20	+09 05	 24.0	
G043.3-00.2	19 11 08	+09 06	  4.0	  3.0
G043.9+01.6	19 05 50	+10 30	 60.0	
G045.7-00.4	19 16 25	+11 09	 22.0	
G046.8-00.3	19 18 10	+12 09	 15.0	
G049.2-00.7	19 23 50	+14 06	 30.0	
G053.4+00.0	19 29 57	+18 10	 10.0	
G053.6-02.2	19 38 50	+17 14	 33.0	 28.0
G054.1+00.3	19 30 31	+18 52	 12.0	
G054.4-00.3	19 33 20	+18 56	 40.0	
G055.0+00.3	19 32 00	+19 50	 20.0	 15.0
G055.7+03.4	19 21 20	+21 44	 23.0	
G057.2+00.8	19 34 59	+21 57	 12.0	
G059.5+00.1	19 42 33	+23 35	 15.0	
G063.7+01.1	19 47 52	+27 45	  8.0	
G064.5+00.9	19 50 25	+28 16	  8.0	
G065.1+00.6	19 54 40	+28 35	 90.0	 50.0
G065.3+05.7	19 33 00	+31 10	310.0	240.0
G065.7+01.2	19 52 10	+29 26	 22.0	
G066.0-00.0	19 57 50	+29 03	 31.0	 25.0
G067.6+00.9	19 57 45	+30 53	 50.0	 45.0
G067.7+01.8	19 54 32	+31 29	 15.0	 12.0
G067.8+00.5	20 00 00	+30 51	  7.0	  5.0
G068.6-01.2	20 08 40	+30 37	 23.0	
G069.0+02.7	19 53 20	+32 55	 80.0	
G069.7+01.0	20 02 40	+32 43	 16.0	 14.0
G070.0-21.5	21 24 00	+19 23	330.0	240.0
G073.9+00.9	20 14 15	+36 12	 27.0	
