event_name,overlap_percentage
GW200208_130117,100.0
GW230811_032116,85.28
GW230624_113103,74.88
GW230927_043729,67.2
GW190828_065509,66.93
GW190512_180714,61.73
GW191215_223052,59.52
GW231223_075055,56.67
GW230609_064958,55.07
GW150914,54.48
GW230723_101834,48.24
GW231118_005626,48.03
GW230729_082317,47.37
GW230922_040658,46.9
GW231005_021030,43.88
GW230825_041334,43.31
GW190517_055101,41.9
GW230708_230935,40.82
GW230805_034249,39.67
GW230824_033047,37.27
GW190803_022701,37.09
GW190926_050336,37.03
GW190421_213856,34.81
GW230820_212515,34.21
GW190910_112807,31.9
GW190929_012149,31.64
GW230702_185453,30.78
GW190727_060333,29.87
GW200302_015811,28.35
GW190731_140936,28.03
GW190828_063405,27.71
GW230706_104333,26.98
GW231206_233134,26.56
GW200308_173609,23.01
GW231224_024321,22.31
GW190707_093326,21.86
GW230904_051013,20.5
GW190426_190642,20.17
GW230831_015414,20.12
GW231029_111508,19.67
GW170823,18.89
GW240109_050431,18.4
GW230704_021211,17.69
GW231001_140220,17.58
GW151012,17.29
GW231223_202619,17.15
GW230819_171910,16.56
GW200220_061928,16.21
GW231008_142521,15.92
GW231119_075248,15.59
GW191204_171526,15.52
GW230930_110730,15.3
GW240104_164932,15.27
GW191113_071753,15.08
GW191109_010717,15.04
GW231223_032836,14.58
GW240107_013215,14.28
GW191222_033537,14.22
GW230601_224134,13.83
GW230605_065343,13.67
GW231114_043211,13.51
GW190602_175927,13.5
GW231020_142947,13.37
GW200322_091133,13.31
GW230606_004305,13.11
GW200225_060421,12.67
GW230920_071124,12.31
GW231230_170116,12.18
GW230704_212616,12.07
GW190521_074359,12.04
GW190925_232845,11.99
GW190413_134308,11.95
GW200220_124850,11.8
GW230709_122727,11.76
GW230914_111401,11.73
GW200112_155838,11.5
GW230803_033412,11.31
GW200128_022011,11.3
GW151226,11.27
GW231118_090602,11.24
GW230630_125806,11.23
GW231113_200417,10.88
GW231231_154016,10.78
GW230814_230901,10.76
GW230928_215827,10.67
GW230707_124047,10.64
GW231004_232346,10.64
GW230726_002940,10.6
GW191127_050227,10.52
GW231005_091549,10.46
GW231127_165300,9.98
GW190514_065416,9.56
GW231221_135041,9.47
GW170104,9.15
GW231102_071736,9.12
GW191126_115259,8.64
GW190725_174728,8.52
GW231018_233037,8.19
GW230911_195324,7.64
GW230806_204041,7.39
GW230630_234532,7.39
GW191204_110529,7.05
GW231213_111417,6.84
GW230708_053705,6.58
GW231108_125142,6.54
GW191216_213338,6.45
GW190620_030421,6.45
GW231226_101520,5.81
GW200306_093714,5.5
GW191230_180458,5.3
GW230919_215712,5.24
GW191103_012549,5.05
GW190403_051519,4.04
GW230927_153832,3.87
GW230814_061920,3.1
GW170608,2.91
GW190728_064510,2.58
GW231104_133418,2.53
GW191129_134029,2.33
GW190708_232457,2.2
GW170729,1.97
GW200316_215756,1.97
GW230712_090405,1.45
GW190527_092055,1.07
GW190719_215514,1.06
GW190519_153544,0.88
GW231129_081745,0.75
GW190706_222641,0.56
GW230608_205047,0.55
GW230731_215307,0.45
GW190630_185205,0.38
GW190521,0.24
GW231110_040320,0.22
GW190916_200658,0.1
GW231118_071402,0.07
GW230628_231200,0.06
GW231123_135430,0.04
GW170809,0.01
GW191105_143521,0.01
GW231014_040532,0.01
GW190503_185404,0.01
GW190805_211137,0.0
GW200202_154313,0.0
GW231028_153006,0.0
GW231206_233901,0.0
GW190720_000836,0.0
GW190924_021846,0.0
GW200208_222617,0.0
GW190513_205428,0.0
GW200216_220804,0.0
GW170818,0.0
GW190701_203306,0.0
GW200224_222234,0.0
GW200129_065458,0.0
GW190930_133541,0.0
GW190413_052954,0.0
GW170814,0.0
GW230922_020344,0.0
GW231113_122623,0.0
GW200311_115853,0.0
GW190408_181802,0.0
GW200209_085452,0.0
GW230924_124453,0.0
GW190915_235702,0.0
GW190412,0.0
GW230627_015337,0.0
GW200219_094415,0.0
