event_name,overlap_pixels,percent_overlap_with_probability_region
GW200208_130117,9282,0.00504
GW230811_032116,276654,0.15023
GW230624_113103,371408,0.20169
GW230927_043729,456315,0.24779
GW190828_065509,180915,0.09824
GW190512_180714,83507,0.04535
GW191215_223052,160307,0.08705
GW231223_075055,473245,0.25699
GW230609_064958,474736,0.2578
GW150914,46355,0.02517
GW230723_101834,334823,0.18182
GW231118_005626,321014,0.17432
GW230729_082317,629782,0.34199
GW230922_040658,1526403,0.82889
GW231005_021030,1821620,0.9892
GW230825_041334,1026842,0.55761
GW190517_055101,111290,0.06043
GW230708_230935,762146,0.41387
GW230805_034249,745042,0.40458
GW230824_033047,1197416,0.65024
GW190803_022701,308542,0.16755
GW190926_050336,614511,0.3337
GW190421_213856,377307,0.20489
GW230820_212515,700004,0.38013
GW190910_112807,2533159,1.37559
GW190929_012149,503587,0.27346
GW230702_185453,724003,0.39316
GW190727_060333,30524,0.01658
GW200302_015811,2233227,1.21272
GW190731_140936,1077441,0.58509
GW190828_063405,103653,0.05629
GW230706_104333,441253,0.23962
GW231206_233134,717649,0.38971
GW200308_173609,7714647,4.18932
GW231224_024321,125795,0.06831
GW190707_093326,272316,0.14788
GW230904_051013,529536,0.28756
GW190426_190642,1390512,0.7551
GW230831_015414,1312481,0.71272
GW231029_111508,8993778,4.88393
GW170823,521563,0.28323
GW240109_050431,8419466,4.57206
GW230704_021211,492224,0.26729
GW231001_140220,1323769,0.71885
GW151012,465365,0.25271
GW231223_202619,8012024,4.3508
GW230819_171910,1575601,0.85561
GW200220_061928,1365664,0.7416
GW231008_142521,976080,0.53004
GW231119_075248,1715701,0.93168
GW191204_171526,105274,0.05717
GW230930_110730,1012959,0.55007
GW240104_164932,8409175,4.56647
GW191113_071753,1090288,0.59206
GW191109_010717,502994,0.27314
GW231223_032836,1182265,0.64201
GW240107_013215,1504415,0.81695
GW191222_033537,598232,0.32486
GW230601_224134,1042796,0.56627
GW230605_065343,307430,0.16694
GW231114_043211,490349,0.26628
GW190602_175927,225307,0.12235
GW231020_142947,437858,0.23777
GW200322_091133,8755210,4.75438
GW230606_004305,463748,0.25183
GW200225_060421,114266,0.06205
GW230920_071124,647946,0.35186
GW231230_170116,2019951,1.0969
GW230704_212616,2301571,1.24983
GW190521_074359,143010,0.07766
GW190925_232845,267321,0.14516
GW190413_134308,171299,0.09302
GW200220_124850,966656,0.52493
GW230709_122727,1042814,0.56628
GW230914_111401,582463,0.3163
GW200112_155838,976197,0.53011
GW230803_033412,1307360,0.70994
GW200128_022011,816737,0.44352
GW151226,290807,0.15792
GW231118_090602,358859,0.19487
GW230630_125806,1281232,0.69575
GW231113_200417,515120,0.27973
GW231231_154016,8215911,4.46152
GW230814_230901,7603649,4.12904
GW230928_215827,1179080,0.64028
GW230707_124047,941221,0.51112
GW231004_232346,1054785,0.57278
GW230726_002940,8519418,4.62633
GW191127_050227,539108,0.29275
GW231005_091549,900386,0.48894
GW231127_165300,1285187,0.6979
GW190514_065416,971873,0.52776
GW231221_135041,1085349,0.58938
GW170104,291011,0.15803
GW231102_071736,911996,0.49524
GW191126_115259,461994,0.25088
GW190725_174728,653499,0.35487
GW231018_233037,500968,0.27204
GW230911_195324,8583703,4.66124
GW230806_204041,1401869,0.76126
GW230630_234532,448210,0.24339
GW191204_110529,1403204,0.76199
GW231213_111417,830733,0.45112
GW230708_053705,591294,0.32109
GW231108_125142,315599,0.17138
GW191216_213338,278775,0.15138
GW190620_030421,1965291,1.06722
GW231226_101520,62601,0.03399
GW200306_093714,1414486,0.76811
GW191230_180458,226903,0.12322
GW230919_215712,224124,0.12171
GW191103_012549,751309,0.40799
GW190403_051519,832875,0.45228
GW230927_153832,109116,0.05925
GW230814_061920,1544791,0.83887
GW170608,126952,0.06894
GW190728_064510,98034,0.05324
GW231104_133418,311069,0.16892
GW191129_134029,261192,0.14184
GW190708_232457,3365068,1.82735
GW170729,351592,0.19093
GW200316_215756,155364,0.08437
GW230712_090405,411158,0.22327
GW190527_092055,1110334,0.60295
GW190719_215514,1087216,0.5904
GW190519_153544,205014,0.11133
GW231129_081745,1170156,0.63543
GW190706_222641,791914,0.43004
GW230608_205047,651893,0.354
GW230731_215307,209178,0.11359
GW190630_185205,292965,0.15909
GW190521,311278,0.16903
GW231110_040320,215211,0.11687
GW190916_200658,722396,0.39229
GW231118_071402,1101858,0.59835
GW230628_231200,190788,0.1036
GW231123_135430,396642,0.21539
GW170809,79739,0.0433
GW191105_143521,201393,0.10936
GW231014_040532,551400,0.29943
GW190503_185404,31337,0.01702
GW190805_211137,469192,0.25479
GW200202_154313,48566,0.02637
GW231028_153006,394147,0.21404
GW231206_233901,118970,0.0646
GW190720_000836,10700,0.00581
GW190924_021846,114596,0.06223
GW200208_222617,330014,0.17921
GW190513_205428,136739,0.07425
GW200216_220804,918028,0.49852
GW170818,8356,0.00454
GW190701_203306,13252,0.0072
GW200224_222234,15147,0.00823
GW200129_065458,9516,0.00517
GW190930_133541,455344,0.24727
GW190413_052954,203719,0.11063
GW170814,24552,0.01333
GW230922_020344,107261,0.05825
GW231113_122623,836348,0.45417
GW200311_115853,10734,0.00583
GW190408_181802,82650,0.04488
GW200209_085452,221485,0.12027
GW230924_124453,409748,0.22251
GW190915_235702,131743,0.07154
GW190412,7539,0.00409
GW230627_015337,35121,0.01907
GW200219_094415,140130,0.0761
