event_name,overlap_pct,beta_center,lambda_center,erass_number,observation_time_center_utc,time_relative_to_gw_detection,observation_time_window
GW200208_130117,100.0000,-49.028249,157.067823,eRASS1,2020-06-10 00:27:18.870,+122d 11h 26m 1.9s,10.307164565586731d
GW200208_130117,100.0000,-49.028249,157.067823,eRASS1,2020-06-10 04:27:18.870,+122d 15h 26m 1.9s,10.307164565586731d
GW200208_130117,100.0000,-49.028249,157.067823,eRASS1,2020-06-10 08:27:18.870,+122d 19h 26m 1.9s,10.307164565586731d
GW200208_130117,100.0000,-49.028249,157.067823,eRASS1,2020-06-10 12:27:18.870,+122d 23h 26m 1.9s,10.307164565586731d
GW200208_130117,100.0000,-49.028249,157.067823,eRASS1,2020-06-10 16:27:18.870,+123d 3h 26m 1.9s,10.307164565586731d
GW200208_130117,100.0000,-49.028249,157.067823,eRASS1,2020-06-10 20:27:18.870,+123d 7h 26m 1.9s,10.307164565586731d
GW200208_130117,100.0000,-49.028249,157.067823,eRASS1,2020-06-11 00:27:18.870,+123d 11h 26m 1.9s,10.307164565586731d
GW190828_065509,66.9270,-58.026332,167.158754,eRASS1,2020-06-10 00:21:18.947,+286d 17h 26m 9.9s,240.05750549456383d
GW190828_065509,66.9270,-58.026332,167.158754,eRASS1,2020-06-10 04:21:18.947,+286d 21h 26m 9.9s,240.05750549456383d
GW190828_065509,66.9270,-58.026332,167.158754,eRASS1,2020-06-10 08:21:18.947,+287d 1h 26m 9.9s,240.05750549456383d
GW190828_065509,66.9270,-58.026332,167.158754,eRASS1,2020-06-10 12:21:18.947,+287d 5h 26m 9.9s,240.05750549456383d
GW190828_065509,66.9270,-58.026332,167.158754,eRASS1,2020-06-10 16:21:18.947,+287d 9h 26m 9.9s,240.05750549456383d
GW190828_065509,66.9270,-58.026332,167.158754,eRASS1,2020-06-10 20:21:18.947,+287d 13h 26m 9.9s,240.05750549456383d
GW190828_065509,66.9270,-58.026332,167.158754,eRASS1,2020-06-11 00:21:18.947,+287d 17h 26m 9.9s,240.05750549456383d
GW190512_180714,61.7290,-4.935916,251.336480,eRASS1,2019-12-13 00:56:42.563,+214d 6h 49m 28.6s,36.673578341513206d
GW190512_180714,61.7290,-4.935916,251.336480,eRASS1,2019-12-13 04:56:42.563,+214d 10h 49m 28.6s,36.673578341513206d
GW190512_180714,61.7290,-4.935916,251.336480,eRASS1,2019-12-13 08:56:42.563,+214d 14h 49m 28.6s,36.673578341513206d
GW190512_180714,61.7290,-4.935916,251.336480,eRASS1,2019-12-13 12:56:42.563,+214d 18h 49m 28.6s,36.673578341513206d
GW190512_180714,61.7290,-4.935916,251.336480,eRASS1,2019-12-13 16:56:42.563,+214d 22h 49m 28.6s,36.673578341513206d
GW190512_180714,61.7290,-4.935916,251.336480,eRASS1,2019-12-13 20:56:42.563,+215d 2h 49m 28.6s,36.673578341513206d
GW190512_180714,61.7290,-4.935916,251.336480,eRASS1,2019-12-14 00:56:42.563,+215d 6h 49m 28.6s,36.673578341513206d
GW191215_223052,59.5177,-62.415890,131.413612,eRASS1,2020-06-10 00:18:23.364,+177d 1h 47m 31.4s,344.3753220365271d
GW191215_223052,59.5177,-62.415890,131.413612,eRASS1,2020-06-10 04:18:23.364,+177d 5h 47m 31.4s,344.3753220365271d
GW191215_223052,59.5177,-62.415890,131.413612,eRASS1,2020-06-10 08:18:23.364,+177d 9h 47m 31.4s,344.3753220365271d
GW191215_223052,59.5177,-62.415890,131.413612,eRASS1,2020-06-10 12:18:23.364,+177d 13h 47m 31.4s,344.3753220365271d
GW191215_223052,59.5177,-62.415890,131.413612,eRASS1,2020-06-10 16:18:23.364,+177d 17h 47m 31.4s,344.3753220365271d
GW191215_223052,59.5177,-62.415890,131.413612,eRASS1,2020-06-10 20:18:23.364,+177d 21h 47m 31.4s,344.3753220365271d
GW191215_223052,59.5177,-62.415890,131.413612,eRASS1,2020-06-11 00:18:23.364,+178d 1h 47m 31.4s,344.3753220365271d
GW150914,54.4839,-79.509794,221.236688,eRASS1,2019-12-13 00:06:59.608,+1550d 14h 16m 15.2s,158.37194113369569d
GW150914,54.4839,-79.509794,221.236688,eRASS1,2019-12-13 04:06:59.608,+1550d 18h 16m 15.2s,158.37194113369569d
GW150914,54.4839,-79.509794,221.236688,eRASS1,2019-12-13 08:06:59.608,+1550d 22h 16m 15.2s,158.37194113369569d
GW150914,54.4839,-79.509794,221.236688,eRASS1,2019-12-13 12:06:59.608,+1551d 2h 16m 15.2s,158.37194113369569d
GW150914,54.4839,-79.509794,221.236688,eRASS1,2019-12-13 16:06:59.608,+1551d 6h 16m 15.2s,158.37194113369569d
GW150914,54.4839,-79.509794,221.236688,eRASS1,2019-12-13 20:06:59.608,+1551d 10h 16m 15.2s,158.37194113369569d
GW150914,54.4839,-79.509794,221.236688,eRASS1,2019-12-14 00:06:59.608,+1551d 14h 16m 15.2s,158.37194113369569d
GW190517_055101,41.8977,-26.809021,240.839191,eRASS1,2019-12-13 00:42:07.639,+209d 18h 51m 6.6s,65.27359000728532d
GW190517_055101,41.8977,-26.809021,240.839191,eRASS1,2019-12-13 04:42:07.639,+209d 22h 51m 6.6s,65.27359000728532d
GW190517_055101,41.8977,-26.809021,240.839191,eRASS1,2019-12-13 08:42:07.639,+210d 2h 51m 6.6s,65.27359000728532d
GW190517_055101,41.8977,-26.809021,240.839191,eRASS1,2019-12-13 12:42:07.639,+210d 6h 51m 6.6s,65.27359000728532d
GW190517_055101,41.8977,-26.809021,240.839191,eRASS1,2019-12-13 16:42:07.639,+210d 10h 51m 6.6s,65.27359000728532d
GW190517_055101,41.8977,-26.809021,240.839191,eRASS1,2019-12-13 20:42:07.639,+210d 14h 51m 6.6s,65.27359000728532d
GW190517_055101,41.8977,-26.809021,240.839191,eRASS1,2019-12-14 00:42:07.639,+210d 18h 51m 6.6s,65.27359000728532d
GW190803_022701,37.0883,-6.732585,85.889623,eRASS1,2020-06-10 00:55:30.697,+311d 22h 28m 29.7s,26.15120578210839d
GW190803_022701,37.0883,-6.732585,85.889623,eRASS1,2020-06-10 04:55:30.697,+312d 2h 28m 29.7s,26.15120578210839d
GW190803_022701,37.0883,-6.732585,85.889623,eRASS1,2020-06-10 08:55:30.697,+312d 6h 28m 29.7s,26.15120578210839d
GW190803_022701,37.0883,-6.732585,85.889623,eRASS1,2020-06-10 12:55:30.697,+312d 10h 28m 29.7s,26.15120578210839d
GW190803_022701,37.0883,-6.732585,85.889623,eRASS1,2020-06-10 16:55:30.697,+312d 14h 28m 29.7s,26.15120578210839d
GW190803_022701,37.0883,-6.732585,85.889623,eRASS1,2020-06-10 20:55:30.697,+312d 18h 28m 29.7s,26.15120578210839d
GW190803_022701,37.0883,-6.732585,85.889623,eRASS1,2020-06-11 00:55:30.697,+312d 22h 28m 29.7s,26.15120578210839d
GW190926_050336,37.0345,-50.719686,165.643474,eRASS1,2020-06-10 00:26:11.213,+257d 19h 22m 35.2s,359.9986634338963d
GW190926_050336,37.0345,-50.719686,165.643474,eRASS1,2020-06-10 04:26:11.213,+257d 23h 22m 35.2s,359.9986634338963d
GW190926_050336,37.0345,-50.719686,165.643474,eRASS1,2020-06-10 08:26:11.213,+258d 3h 22m 35.2s,359.9986634338963d
GW190926_050336,37.0345,-50.719686,165.643474,eRASS1,2020-06-10 12:26:11.213,+258d 7h 22m 35.2s,359.9986634338963d
GW190926_050336,37.0345,-50.719686,165.643474,eRASS1,2020-06-10 16:26:11.213,+258d 11h 22m 35.2s,359.9986634338963d
GW190926_050336,37.0345,-50.719686,165.643474,eRASS1,2020-06-10 20:26:11.213,+258d 15h 22m 35.2s,359.9986634338963d
