event_name,overlap_pct,beta_center,lambda_center,erass_number,observation_time_center_utc,time_relative_to_gw_detection,observation_time_window,overlap_pixels,percent_overlap_with_probability_region,galactic_l,ra_center,dec_center,galactic_l_center,galactic_b_center
GW200208_130117,100.0,-49.028249,157.067823,eRASS1,2020-06-10 00:27:18.870,+122d 11h 26m 1.9s,10.307164565586731d,9282,0.00504,261.3979529742744,138.46887690019946,-36.2372099287791,261.3955417971356,8.535572387273216
GW200208_130117,100.0,-49.028249,157.067823,eRASS1,2020-06-10 04:27:18.870,+122d 15h 26m 1.9s,10.307164565586731d,9282,0.00504,261.3979529742744,138.46887690019946,-36.2372099287791,261.3955417971356,8.535572387273216
GW200208_130117,100.0,-49.028249,157.067823,eRASS1,2020-06-10 08:27:18.870,+122d 19h 26m 1.9s,10.307164565586731d,9282,0.00504,261.3979529742744,138.46887690019946,-36.2372099287791,261.3955417971356,8.535572387273216
GW200208_130117,100.0,-49.028249,157.067823,eRASS1,2020-06-10 12:27:18.870,+122d 23h 26m 1.9s,10.307164565586731d,9282,0.00504,261.3979529742744,138.46887690019946,-36.2372099287791,261.3955417971356,8.535572387273216
GW200208_130117,100.0,-49.028249,157.067823,eRASS1,2020-06-10 16:27:18.870,+123d 3h 26m 1.9s,10.307164565586731d,9282,0.00504,261.3979529742744,138.46887690019946,-36.2372099287791,261.3955417971356,8.535572387273216
GW200208_130117,100.0,-49.028249,157.067823,eRASS1,2020-06-10 20:27:18.870,+123d 7h 26m 1.9s,10.307164565586731d,9282,0.00504,261.3979529742744,138.46887690019946,-36.2372099287791,261.3955417971356,8.535572387273216
GW200208_130117,100.0,-49.028249,157.067823,eRASS1,2020-06-11 00:27:18.870,+123d 11h 26m 1.9s,10.307164565586731d,9282,0.00504,261.3979529742744,138.46887690019946,-36.2372099287791,261.3955417971356,8.535572387273216
GW190828_065509,66.927,-58.026332,167.158754,eRASS1,2020-06-10 00:21:18.947,+286d 17h 26m 9.9s,240.05750549456383d,180915,0.09824,269.6115231684917,139.2086266657362,-47.0129154220705,269.6095117220992,1.496245899002272
GW190828_065509,66.927,-58.026332,167.158754,eRASS1,2020-06-10 04:21:18.947,+286d 21h 26m 9.9s,240.05750549456383d,180915,0.09824,269.6115231684917,139.2086266657362,-47.0129154220705,269.6095117220992,1.496245899002272
GW190828_065509,66.927,-58.026332,167.158754,eRASS1,2020-06-10 08:21:18.947,+287d 1h 26m 9.9s,240.05750549456383d,180915,0.09824,269.6115231684917,139.2086266657362,-47.0129154220705,269.6095117220992,1.496245899002272
GW190828_065509,66.927,-58.026332,167.158754,eRASS1,2020-06-10 12:21:18.947,+287d 5h 26m 9.9s,240.05750549456383d,180915,0.09824,269.6115231684917,139.2086266657362,-47.0129154220705,269.6095117220992,1.496245899002272
GW190828_065509,66.927,-58.026332,167.158754,eRASS1,2020-06-10 16:21:18.947,+287d 9h 26m 9.9s,240.05750549456383d,180915,0.09824,269.6115231684917,139.2086266657362,-47.0129154220705,269.6095117220992,1.496245899002272
GW190828_065509,66.927,-58.026332,167.158754,eRASS1,2020-06-10 20:21:18.947,+287d 13h 26m 9.9s,240.05750549456383d,180915,0.09824,269.6115231684917,139.2086266657362,-47.0129154220705,269.6095117220992,1.496245899002272
GW190828_065509,66.927,-58.026332,167.158754,eRASS1,2020-06-11 00:21:18.947,+287d 17h 26m 9.9s,240.05750549456383d,180915,0.09824,269.6115231684917,139.2086266657362,-47.0129154220705,269.6095117220992,1.496245899002272
GW190512_180714,61.729,-4.935916,251.33648,eRASS1,2019-12-13 00:56:42.563,+214d 6h 49m 28.6s,36.673578341513206d,83507,0.04535,352.5008258188698,249.03380221747548,-27.027526920534815,352.4987077211782,13.539391757088783
GW190512_180714,61.729,-4.935916,251.33648,eRASS1,2019-12-13 04:56:42.563,+214d 10h 49m 28.6s,36.673578341513206d,83507,0.04535,352.5008258188698,249.03380221747548,-27.027526920534815,352.4987077211782,13.539391757088783
GW190512_180714,61.729,-4.935916,251.33648,eRASS1,2019-12-13 08:56:42.563,+214d 14h 49m 28.6s,36.673578341513206d,83507,0.04535,352.5008258188698,249.03380221747548,-27.027526920534815,352.4987077211782,13.539391757088783
GW190512_180714,61.729,-4.935916,251.33648,eRASS1,2019-12-13 12:56:42.563,+214d 18h 49m 28.6s,36.673578341513206d,83507,0.04535,352.5008258188698,249.03380221747548,-27.027526920534815,352.4987077211782,13.539391757088783
GW190512_180714,61.729,-4.935916,251.33648,eRASS1,2019-12-13 16:56:42.563,+214d 22h 49m 28.6s,36.673578341513206d,83507,0.04535,352.5008258188698,249.03380221747548,-27.027526920534815,352.4987077211782,13.539391757088783
GW190512_180714,61.729,-4.935916,251.33648,eRASS1,2019-12-13 20:56:42.563,+215d 2h 49m 28.6s,36.673578341513206d,83507,0.04535,352.5008258188698,249.03380221747548,-27.027526920534815,352.4987077211782,13.539391757088783
GW190512_180714,61.729,-4.935916,251.33648,eRASS1,2019-12-14 00:56:42.563,+215d 6h 49m 28.6s,36.673578341513206d,83507,0.04535,352.5008258188698,249.03380221747548,-27.027526920534815,352.4987077211782,13.539391757088783
GW191215_223052,59.5177,-62.41589,131.413612,eRASS1,2020-06-10 00:18:23.364,+177d 1h 47m 31.4s,344.3753220365271d,160307,0.08705,255.72255182401165,114.52295336637866,-42.45945013673251,255.72118619187003,-10.083388392382096
GW191215_223052,59.5177,-62.41589,131.413612,eRASS1,2020-06-10 04:18:23.364,+177d 5h 47m 31.4s,344.3753220365271d,160307,0.08705,255.72255182401165,114.52295336637866,-42.45945013673251,255.72118619187003,-10.083388392382096
GW191215_223052,59.5177,-62.41589,131.413612,eRASS1,2020-06-10 08:18:23.364,+177d 9h 47m 31.4s,344.3753220365271d,160307,0.08705,255.72255182401165,114.52295336637866,-42.45945013673251,255.72118619187003,-10.083388392382096
GW191215_223052,59.5177,-62.41589,131.413612,eRASS1,2020-06-10 12:18:23.364,+177d 13h 47m 31.4s,344.3753220365271d,160307,0.08705,255.72255182401165,114.52295336637866,-42.45945013673251,255.72118619187003,-10.083388392382096
GW191215_223052,59.5177,-62.41589,131.413612,eRASS1,2020-06-10 16:18:23.364,+177d 17h 47m 31.4s,344.3753220365271d,160307,0.08705,255.72255182401165,114.52295336637866,-42.45945013673251,255.72118619187003,-10.083388392382096
GW191215_223052,59.5177,-62.41589,131.413612,eRASS1,2020-06-10 20:18:23.364,+177d 21h 47m 31.4s,344.3753220365271d,160307,0.08705,255.72255182401165,114.52295336637866,-42.45945013673251,255.72118619187003,-10.083388392382096
GW191215_223052,59.5177,-62.41589,131.413612,eRASS1,2020-06-11 00:18:23.364,+178d 1h 47m 31.4s,344.3753220365271d,160307,0.08705,255.72255182401165,114.52295336637866,-42.45945013673251,255.72118619187003,-10.083388392382096
GW190517_055101,41.8977,-26.809021,240.839191,eRASS1,2019-12-13 00:42:07.639,+209d 18h 51m 6.6s,65.27359000728532d,111290,0.06043,328.43797542799325,230.93403554644405,-46.37411117736257,328.4357308910968,8.818948567556596
GW190517_055101,41.8977,-26.809021,240.839191,eRASS1,2019-12-13 04:42:07.639,+209d 22h 51m 6.6s,65.27359000728532d,111290,0.06043,328.43797542799325,230.93403554644405,-46.37411117736257,328.4357308910968,8.818948567556596
GW190517_055101,41.8977,-26.809021,240.839191,eRASS1,2019-12-13 08:42:07.639,+210d 2h 51m 6.6s,65.27359000728532d,111290,0.06043,328.43797542799325,230.93403554644405,-46.37411117736257,328.4357308910968,8.818948567556596
GW190517_055101,41.8977,-26.809021,240.839191,eRASS1,2019-12-13 12:42:07.639,+210d 6h 51m 6.6s,65.27359000728532d,111290,0.06043,328.43797542799325,230.93403554644405,-46.37411117736257,328.4357308910968,8.818948567556596
