event_name,overlap_percentage,overlap_boundary_file
GW190720_000836,100.0,x-rays E = 1.0keV/overlap_boundaries/GW190720_000836_boundary.json
GW200208_130117,100.0,x-rays E = 1.0keV/overlap_boundaries/GW200208_130117_boundary.json
GW230811_032116,94.79,x-rays E = 1.0keV/overlap_boundaries/GW230811_032116_boundary.json
GW190521_074359,91.28,x-rays E = 1.0keV/overlap_boundaries/GW190521_074359_boundary.json
GW230825_041334,91.15,x-rays E = 1.0keV/overlap_boundaries/GW230825_041334_boundary.json
GW231005_021030,86.49,x-rays E = 1.0keV/overlap_boundaries/GW231005_021030_boundary.json
GW230922_040658,82.56,x-rays E = 1.0keV/overlap_boundaries/GW230922_040658_boundary.json
GW190727_060333,77.78,x-rays E = 1.0keV/overlap_boundaries/GW190727_060333_boundary.json
GW230624_113103,74.88,x-rays E = 1.0keV/overlap_boundaries/GW230624_113103_boundary.json
GW190930_133541,71.38,x-rays E = 1.0keV/overlap_boundaries/GW190930_133541_boundary.json
GW231118_005626,68.75,x-rays E = 1.0keV/overlap_boundaries/GW231118_005626_boundary.json
GW190828_065509,68.68,x-rays E = 1.0keV/overlap_boundaries/GW190828_065509_boundary.json
GW190707_093326,68.35,x-rays E = 1.0keV/overlap_boundaries/GW190707_093326_boundary.json
GW230609_064958,67.99,x-rays E = 1.0keV/overlap_boundaries/GW230609_064958_boundary.json
GW190513_205428,67.44,x-rays E = 1.0keV/overlap_boundaries/GW190513_205428_boundary.json
GW230729_082317,67.36,x-rays E = 1.0keV/overlap_boundaries/GW230729_082317_boundary.json
GW230927_043729,67.2,x-rays E = 1.0keV/overlap_boundaries/GW230927_043729_boundary.json
GW200302_015811,65.58,x-rays E = 1.0keV/overlap_boundaries/GW200302_015811_boundary.json
GW190910_112807,65.46,x-rays E = 1.0keV/overlap_boundaries/GW190910_112807_boundary.json
GW231004_232346,65.04,x-rays E = 1.0keV/overlap_boundaries/GW231004_232346_boundary.json
GW230605_065343,63.9,x-rays E = 1.0keV/overlap_boundaries/GW230605_065343_boundary.json
GW231206_233134,63.39,x-rays E = 1.0keV/overlap_boundaries/GW231206_233134_boundary.json
GW230708_230935,62.42,x-rays E = 1.0keV/overlap_boundaries/GW230708_230935_boundary.json
GW191215_223052,62.34,x-rays E = 1.0keV/overlap_boundaries/GW191215_223052_boundary.json
GW190512_180714,61.73,x-rays E = 1.0keV/overlap_boundaries/GW190512_180714_boundary.json
GW190828_063405,60.43,x-rays E = 1.0keV/overlap_boundaries/GW190828_063405_boundary.json
GW190517_055101,59.41,x-rays E = 1.0keV/overlap_boundaries/GW190517_055101_boundary.json
GW230608_205047,59.26,x-rays E = 1.0keV/overlap_boundaries/GW230608_205047_boundary.json
GW230824_033047,58.86,x-rays E = 1.0keV/overlap_boundaries/GW230824_033047_boundary.json
GW231223_075055,56.67,x-rays E = 1.0keV/overlap_boundaries/GW231223_075055_boundary.json
GW231018_233037,56.22,x-rays E = 1.0keV/overlap_boundaries/GW231018_233037_boundary.json
GW190725_174728,55.34,x-rays E = 1.0keV/overlap_boundaries/GW190725_174728_boundary.json
GW190929_012149,55.29,x-rays E = 1.0keV/overlap_boundaries/GW190929_012149_boundary.json
GW190803_022701,54.55,x-rays E = 1.0keV/overlap_boundaries/GW190803_022701_boundary.json
GW150914,54.48,x-rays E = 1.0keV/overlap_boundaries/GW150914_boundary.json
GW190408_181802,53.75,x-rays E = 1.0keV/overlap_boundaries/GW190408_181802_boundary.json
GW190926_050336,50.45,x-rays E = 1.0keV/overlap_boundaries/GW190926_050336_boundary.json
GW230723_101834,48.63,x-rays E = 1.0keV/overlap_boundaries/GW230723_101834_boundary.json
GW200308_173609,47.96,x-rays E = 1.0keV/overlap_boundaries/GW200308_173609_boundary.json
GW230820_212515,47.75,x-rays E = 1.0keV/overlap_boundaries/GW230820_212515_boundary.json
GW200316_215756,46.83,x-rays E = 1.0keV/overlap_boundaries/GW200316_215756_boundary.json
GW191109_010717,46.29,x-rays E = 1.0keV/overlap_boundaries/GW191109_010717_boundary.json
GW230805_034249,44.59,x-rays E = 1.0keV/overlap_boundaries/GW230805_034249_boundary.json
GW231118_090602,44.22,x-rays E = 1.0keV/overlap_boundaries/GW231118_090602_boundary.json
GW191113_071753,43.27,x-rays E = 1.0keV/overlap_boundaries/GW191113_071753_boundary.json
GW230924_124453,43.08,x-rays E = 1.0keV/overlap_boundaries/GW230924_124453_boundary.json
GW151012,42.45,x-rays E = 1.0keV/overlap_boundaries/GW151012_boundary.json
GW170823,42.31,x-rays E = 1.0keV/overlap_boundaries/GW170823_boundary.json
GW230803_033412,41.37,x-rays E = 1.0keV/overlap_boundaries/GW230803_033412_boundary.json
GW230831_015414,40.89,x-rays E = 1.0keV/overlap_boundaries/GW230831_015414_boundary.json
GW230702_185453,40.87,x-rays E = 1.0keV/overlap_boundaries/GW230702_185453_boundary.json
GW231014_040532,40.3,x-rays E = 1.0keV/overlap_boundaries/GW231014_040532_boundary.json
GW231029_111508,39.91,x-rays E = 1.0keV/overlap_boundaries/GW231029_111508_boundary.json
GW240109_050431,38.28,x-rays E = 1.0keV/overlap_boundaries/GW240109_050431_boundary.json
GW231113_122623,38.16,x-rays E = 1.0keV/overlap_boundaries/GW231113_122623_boundary.json
GW230920_071124,38.15,x-rays E = 1.0keV/overlap_boundaries/GW230920_071124_boundary.json
