event_name,overlap_pct,beta_center,lambda_center,erass_number,observation_time_center_utc,time_relative_to_gw_detection,observation_time_window
GW190720_000836,99.514,55.664238,311.605495,eRASS1,2020-02-01 01:37:06.570,+196d 1h 28m 30.6s,11.385125039903983d
GW190720_000836,99.514,55.664238,311.605495,eRASS1,2020-02-01 05:37:06.570,+196d 5h 28m 30.6s,11.385125039903983d
GW190720_000836,99.514,55.664238,311.605495,eRASS1,2020-02-01 09:37:06.570,+196d 9h 28m 30.6s,11.385125039903983d
GW190720_000836,99.514,55.664238,311.605495,eRASS1,2020-02-01 13:37:06.570,+196d 13h 28m 30.6s,11.385125039903983d
GW190720_000836,99.514,55.664238,311.605495,eRASS1,2020-02-01 17:37:06.570,+196d 17h 28m 30.6s,11.385125039903983d
GW190720_000836,99.514,55.664238,311.605495,eRASS1,2020-02-01 21:37:06.570,+196d 21h 28m 30.6s,11.385125039903983d
GW190720_000836,99.514,55.664238,311.605495,eRASS1,2020-02-02 01:37:06.570,+197d 1h 28m 30.6s,11.385125039903983d
GW190720_000836,99.514,55.664238,311.605495,eRASS2,2020-12-14 01:37:06.570,+513d 1h 28m 30.6s,11.385125039903983d
GW190720_000836,99.514,55.664238,311.605495,eRASS2,2020-12-14 05:37:06.570,+513d 5h 28m 30.6s,11.385125039903983d
GW190720_000836,99.514,55.664238,311.605495,eRASS2,2020-12-14 09:37:06.570,+513d 9h 28m 30.6s,11.385125039903983d
GW190720_000836,99.514,55.664238,311.605495,eRASS2,2020-12-14 13:37:06.570,+513d 13h 28m 30.6s,11.385125039903983d
GW190720_000836,99.514,55.664238,311.605495,eRASS2,2020-12-14 17:37:06.570,+513d 17h 28m 30.6s,11.385125039903983d
GW190720_000836,99.514,55.664238,311.605495,eRASS2,2020-12-14 21:37:06.570,+513d 21h 28m 30.6s,11.385125039903983d
GW190720_000836,99.514,55.664238,311.605495,eRASS2,2020-12-15 01:37:06.570,+514d 1h 28m 30.6s,11.385125039903983d
GW190720_000836,99.514,55.664238,311.605495,eRASS3,2021-02-01 01:37:06.570,+562d 1h 28m 30.6s,11.385125039903983d
GW190720_000836,99.514,55.664238,311.605495,eRASS3,2021-02-01 05:37:06.570,+562d 5h 28m 30.6s,11.385125039903983d
GW190720_000836,99.514,55.664238,311.605495,eRASS3,2021-02-01 09:37:06.570,+562d 9h 28m 30.6s,11.385125039903983d
GW190720_000836,99.514,55.664238,311.605495,eRASS3,2021-02-01 13:37:06.570,+562d 13h 28m 30.6s,11.385125039903983d
GW190720_000836,99.514,55.664238,311.605495,eRASS3,2021-02-01 17:37:06.570,+562d 17h 28m 30.6s,11.385125039903983d
GW190720_000836,99.514,55.664238,311.605495,eRASS3,2021-02-01 21:37:06.570,+562d 21h 28m 30.6s,11.385125039903983d
