event_name,area_percentage
GW190720_000836,0.00085
GW231005_021030,0.14477
GW190930_133541,0.03619
GW230624_113103,0.02952
GW190707_093326,0.02164
GW230825_041334,0.08161
GW230927_043729,0.03626
GW230922_040658,0.12131
GW230605_065343,0.02443
GW230729_082317,0.05005
GW231018_233037,0.03981
GW190828_065509,0.01438
GW231004_232346,0.08383
GW230708_230935,0.06057
GW230811_032116,0.02199
GW231118_005626,0.02551
GW200302_015811,0.17748
GW190910_112807,0.20132
GW191215_223052,0.01274
GW190803_022701,0.02452
GW231223_075055,0.03761
GW200316_215756,0.01235
GW231014_040532,0.04382
GW190725_174728,0.05194
GW231206_233134,0.05703
GW190513_205428,0.01087
GW190521_074359,0.01137
GW230824_033047,0.09516
GW230820_212515,0.05563
GW190929_012149,0.04002
GW200308_173609,0.61311
GW231113_122623,0.06647
GW190408_181802,0.00657
GW190517_055101,0.00884
GW200208_222617,0.02623
GW230608_205047,0.05181
GW191127_050227,0.04284
GW200306_093714,0.11241
GW230831_015414,0.10431
GW230609_064958,0.03773
GW200112_155838,0.07758
GW190519_153544,0.01629
GW231110_040320,0.0171
GW231114_043211,0.03897
GW230723_101834,0.02661
GW231029_111508,0.71476
GW230924_124453,0.03256
GW200216_220804,0.07296
GW190926_050336,0.04884
GW230920_071124,0.05149
GW240109_050431,0.66912
GW191113_071753,0.08665
GW191222_033537,0.04754
GW230702_185453,0.05754
GW231223_202619,0.63674
GW230709_122727,0.08288
GW151226,0.02311
GW191216_213338,0.02216
GW151012,0.03698
GW230927_153832,0.00867
GW231118_090602,0.02852
GW230630_125806,0.10182
GW190421_213856,0.02999
GW230707_124047,0.0748
GW200220_124850,0.07682
GW230805_034249,0.05921
GW231224_024321,0.01
GW200322_091133,0.6958
GW230914_111401,0.04629
GW231230_170116,0.16053
GW240104_164932,0.6683
GW191109_010717,0.03997
GW231005_091549,0.07156
GW231102_071736,0.07248
GW190512_180714,0.00664
GW230819_171910,0.12522
GW200128_022011,0.06491
GW170823,0.04145
GW230704_212616,0.18291
GW230601_224134,0.08287
GW230930_110730,0.0805
GW231223_032836,0.09396
GW191204_171526,0.00837
GW190727_060333,0.00243
GW230606_004305,0.03686
GW230706_104333,0.03507
GW190514_065416,0.07724
GW190731_140936,0.08563
GW231129_081745,0.093
GW230803_033412,0.1039
GW231008_142521,0.07757
GW231127_165300,0.10214
GW190602_175927,0.01791
GW231119_075248,0.13635
GW231118_071402,0.08757
GW150914,0.00368
GW231001_140220,0.1052
GW240107_013215,0.11956
GW230928_215827,0.0937
GW230911_195324,0.68217
GW230708_053705,0.04699
GW230919_215712,0.01781
GW230704_021211,0.03912
GW170729,0.02794
GW231113_200417,0.04094
GW190426_190642,0.11051
GW191204_110529,0.11152
GW190828_063405,0.00824
GW230726_002940,0.67706
GW231020_142947,0.0348
GW200129_065458,0.00076
GW231231_154016,0.65294
GW231221_135041,0.08626
GW170104,0.02313
GW191126_115259,0.03672
GW230806_204041,0.11141
GW230814_230901,0.60428
GW231108_125142,0.02508
GW230630_234532,0.03562
GW190620_030421,0.15619
GW230904_051013,0.04208
GW200220_061928,0.10853
GW231104_133418,0.02472
GW230627_015337,0.00279
GW170608,0.01009
GW231213_111417,0.06602
GW191230_180458,0.01803
GW191129_134029,0.02076
GW190403_051519,0.06619
GW190706_222641,0.06294
GW190708_232457,0.26743
GW230814_061920,0.12277
GW190527_092055,0.08824
GW200208_130117,0.00074
GW190719_215514,0.0864
GW190521,0.02474
GW230731_215307,0.01662
GW190916_200658,0.05741
GW200225_060421,0.00908
GW200202_154313,0.00386
GW190503_185404,0.00249
GW231028_153006,0.03132
GW230628_231200,0.01516
GW190925_232845,0.02124
GW191105_143521,0.01601
GW231206_233901,0.00945
GW190924_021846,0.00911
GW231226_101520,0.00498
GW170818,0.00066
GW190701_203306,0.00105
GW190805_211137,0.03729
GW200224_222234,0.0012
GW191103_012549,0.05971
GW190413_052954,0.01619
GW170814,0.00195
GW230922_020344,0.00852
GW190728_064510,0.00779
GW200311_115853,0.00085
GW200209_085452,0.0176
GW231123_135430,0.03152
GW190630_185205,0.02328
GW190915_235702,0.01047
GW170809,0.00634
GW230712_090405,0.03268
GW190412,0.0006
GW190413_134308,0.01361
GW200219_094415,0.01114
