event_name,overlap_percentage
GW190720_000836,45.85
GW190707_093326,30.68
GW190803_022701,26.56
GW230605_065343,26.18
GW231005_021030,25.33
GW191215_223052,24.22
GW230922_040658,22.94
GW190930_133541,22.78
GW230729_082317,22.68
GW230825_041334,21.66
GW230927_043729,21.63
GW231118_005626,21.2
GW230811_032116,20.56
GW200302_015811,19.33
GW230624_113103,19.09
GW190910_112807,18.99
GW231004_232346,18.97
GW190828_065509,18.74
GW200316_215756,18.33
GW230708_230935,17.96
GW190929_012149,16.5
GW190725_174728,16.33
GW190517_055101,15.74
GW231018_233037,15.57
GW231223_075055,14.68
GW190408_181802,14.48
GW231110_040320,14.01
GW230608_205047,13.16
GW191109_010717,13.15
GW230820_212515,12.7
GW190519_153544,12.51
GW230824_033047,12.48
GW200306_093714,12.3
GW200308_173609,12.24
GW191127_050227,12.22
GW231206_233134,12.17
GW190521_074359,11.94
GW231014_040532,11.85
GW190727_060333,11.57
GW190513_205428,11.55
GW200208_222617,11.14
GW230924_124453,11.09
GW191113_071753,10.77
GW200112_155838,10.54
GW230702_185453,10.41
GW231029_111508,10.11
GW231118_090602,9.99
GW240109_050431,9.85
GW230831_015414,9.73
GW151226,9.51
GW191222_033537,9.5
GW231113_122623,9.47
GW230819_171910,9.45
GW190926_050336,9.34
GW231114_043211,9.27
GW151012,9.13
GW231008_142521,9.08
GW230609_064958,8.66
GW230606_004305,8.65
GW230709_122727,8.61
GW230920_071124,8.44
GW231005_091549,8.44
GW200128_022011,8.43
GW230630_125806,8.43
GW230723_101834,8.31
GW230914_111401,8.25
GW231223_202619,8.17
GW200216_220804,8.07
GW230707_124047,8.02
GW190512_180714,7.98
GW230930_110730,7.93
GW190602_175927,7.81
GW231224_024321,7.71
GW200322_091133,7.66
GW231129_081745,7.6
GW190421_213856,7.48
GW170823,7.39
GW231102_071736,7.38
GW231223_032836,7.14
GW240104_164932,7.08
GW231119_075248,7.01
GW230805_034249,7.0
GW190731_140936,6.95
GW230927_153832,6.72
GW231118_071402,6.67
GW191216_213338,6.59
GW231230_170116,6.53
GW200129_065458,6.45
GW200220_124850,6.41
GW190828_063405,6.23
GW190426_190642,6.08
GW230704_212616,6.06
GW230601_224134,5.85
GW231001_140220,5.85
GW240107_013215,5.74
GW230803_033412,5.57
GW150914,5.44
GW191204_171526,5.3
GW231127_165300,4.97
GW190514_065416,4.9
GW230928_215827,4.75
GW230706_104333,4.69
GW230911_195324,4.66
GW230726_002940,4.26
GW230704_021211,4.2
GW170729,4.13
GW191204_110529,4.13
GW231113_200417,4.05
GW230708_053705,4.04
GW231020_142947,3.63
GW231231_154016,3.35
GW230806_204041,2.9
GW230919_215712,2.89
GW170104,2.87
GW230814_230901,2.69
GW231221_135041,2.68
GW230904_051013,2.51
GW191126_115259,2.43
GW190620_030421,2.4
GW170608,2.27
GW231108_125142,2.14
GW230630_234532,2.13
GW230627_015337,1.73
GW231213_111417,1.63
GW200220_061928,1.53
GW231104_133418,1.3
GW191230_180458,0.91
GW190403_051519,0.5
GW230814_061920,0.49
GW191129_134029,0.44
GW190706_222641,0.34
GW190708_232457,0.3
GW200208_130117,0.22
GW190527_092055,0.18
GW190719_215514,0.17
GW190521,0.05
GW230731_215307,0.05
GW190916_200658,0.0
GW200225_060421,0.0
GW200202_154313,0.0
GW190503_185404,0.0
GW231028_153006,0.0
GW230628_231200,0.0
GW190925_232845,0.0
GW191105_143521,0.0
GW231206_233901,0.0
GW190924_021846,0.0
GW231226_101520,0.0
GW170818,0.0
GW190701_203306,0.0
GW190805_211137,0.0
GW200224_222234,0.0
GW191103_012549,0.0
GW190413_052954,0.0
GW170814,0.0
GW230922_020344,0.0
GW190728_064510,0.0
GW200311_115853,0.0
GW200209_085452,0.0
GW231123_135430,0.0
GW190630_185205,0.0
GW190915_235702,0.0
GW170809,0.0
GW230712_090405,0.0
GW190412,0.0
GW190413_134308,0.0
GW200219_094415,0.0
